LOB,PHYSICAL_COLUMN_NAME,LOGICAL_COLUMN_NAME,TABLE_COLUMN_NAME,DESCRIPTION,LONG_DESCRIPTION,LOAD_FREQUENCY
DMEB,ProvNPI,Provider NPI,tblProviders.ProvNPI,Value column of Supplier NPI,"This field is the National Provider Identifier, the standardized ten-digit external identifier for the provider or supplier. It is the identifier used in fraud referrals, exclusion checks, and cross-system reconciliation, making it essential for connecting internal findings to enterprise and federal records.",annually
DMEB,Diag1,Diagnosis Code 1,tblProviders.Diag1,testing,"This column was carried over from the original metadata file. A detailed business definition has not yet been authored; the short description above reflects the available information and should be expanded as documentation matures.",quarterly
DMEB,MSTATE,Member State,tblProviders.MSTATE,testing,"This column was carried over from the original metadata file. A detailed business definition has not yet been authored; the short description above reflects the available information and should be expanded as documentation matures.",monthly
DMEB,CovdChrg,Covered Charge,tblProviders.CovdChrg,testing,"This column was carried over from the original metadata file. A detailed business definition has not yet been authored; the short description above reflects the available information and should be expanded as documentation matures.",daily
DMEB,AvgLOS,Average Length of Stay,tblProviders.AvgLOS,testing and did it workkk yesss,"This column was carried over from the original metadata file. A detailed business definition has not yet been authored; the short description above reflects the available information and should be expanded as documentation matures.",quarterly
DME,PaidProv,Paid to Provider,tblClaims.PaidProv,Primary fraud signal. Fraud-tier claims average,"This field captures the actual reimbursement disbursed to the billing provider or supplier after claim adjudication. In fraud analytics it is the single most important monetary measure because abnormally large values, especially when clustered within a narrow date window or concentrated among a small set of providers, are the clearest indicator of improper or inflated billing. It anchors z-score, percentile, and outlier analyses and serves as the primary dollar axis in scatter and time-series visualizations.",daily
DME,PaidProv,Paid to Provider,tblClaims.PaidProv,Total dollar amount paid to the provider or supplier for the claim; the primary indicator of payment exposure and the main fraud signal,"This field captures the actual reimbursement disbursed to the billing provider or supplier after claim adjudication. In fraud analytics it is the single most important monetary measure because abnormally large values, especially when clustered within a narrow date window or concentrated among a small set of providers, are the clearest indicator of improper or inflated billing. It anchors z-score, percentile, and outlier analyses and serves as the primary dollar axis in scatter and time-series visualizations.",daily
DME,PaidProv_log,Paid to Provider (Log),derived.PaidProv_log,"Natural-log transform of the amount paid to the provider, used to normalize skewed payment values for statistical and correlation analysis","This is the natural-logarithm transformation of the amount paid to the provider, computed as the log of the value plus a small constant to handle zeros. Because raw payment amounts are heavily right-skewed, the log version compresses extreme high-dollar outliers so that both normal claims and fraudulent spikes remain visible within the same chart. It is the preferred form for correlation matrices, clustering, and any model that assumes a roughly symmetric feature distribution.",daily
DME,IntAmtProv,Interest Amount to Provider,tblClaims.IntAmtProv,Interest dollars paid to the provider due to late claim processing; elevated values can indicate billing-timing manipulation,"This field records interest dollars paid to the provider as a result of claims that were not processed within the statutory payment window. While ordinarily small and benign, unusually high interest amounts can reveal deliberate billing-timing manipulation, resubmission patterns, or attempts to exploit payment-floor rules, making it a useful secondary fraud signal when evaluated alongside the principal paid amount.",monthly
DME,IntAmtProv_log,Interest Amount to Provider (Log),derived.IntAmtProv_log,"Natural-log transform of the provider interest amount, used to normalize the distribution for modeling and visualization","This is the natural-logarithm transformation of the provider interest amount. It normalizes a sparse, right-skewed monetary field so that the relatively rare large interest payments do not dominate distance-based or correlation calculations, allowing the variable to contribute meaningfully to clustering and anomaly-detection models.",monthly
DME,PaidDeduct,Paid Deductible,tblClaims.PaidDeduct,Deductible dollar amount applied to the claim; near-zero values may signal improper deductible waiver,"This field reflects the deductible dollar amount applied to the claim and paid by or on behalf of the beneficiary. In legitimate billing it clusters around the annual Part B deductible, but values at or near zero across many claims for a single provider may indicate systematic deductible waiver, an illegal inducement that removes the beneficiary's financial stake in the service rendered.",daily
DME,PaidDeduct_log,Paid Deductible (Log),derived.PaidDeduct_log,"Natural-log transform of the deductible paid, used to normalize the distribution for analysis","This is the natural-logarithm transformation of the deductible paid. The transformation stabilizes the variance of a field that is otherwise bounded and clustered, supporting distribution comparisons and the detection of providers whose deductible patterns deviate sharply from the norm.",daily
